Data,Plan Name,Mean Return
-0.005053497,Research Affiliates,0.051574892
0.00615035,Research Affiliates,0.051574892
0.074171594,Research Affiliates,0.051574892
0.067100709,Research Affiliates,0.051574892
0.039459938,Research Affiliates,0.051574892
0.037332696,Research Affiliates,0.051574892
0.071104461,Research Affiliates,0.051574892
0.067038174,Research Affiliates,0.051574892
0.040549375,Research Affiliates,0.051574892
0.069858004,Research Affiliates,0.051574892
0.057580407,Research Affiliates,0.051574892
0.074517116,Research Affiliates,0.051574892
0.0713573,Research Affiliates,0.051574892
0.038093541,Research Affiliates,0.051574892
0.060471561,Research Affiliates,0.051574892
0.041010523,Research Affiliates,0.051574892
0.039060769,Research Affiliates,0.051574892
0.054647413,Research Affiliates,0.051574892
0.035542448,Research Affiliates,0.051574892
0.018971211,Research Affiliates,0.051574892
0.040514162,Research Affiliates,0.051574892
0.064948777,Research Affiliates,0.051574892
0.031513217,Research Affiliates,0.051574892
0.06691311,Research Affiliates,0.051574892
0.040284537,Research Affiliates,0.051574892
0.06278544,Research Affiliates,0.051574892
0.015261829,Research Affiliates,0.051574892
0.014446691,Research Affiliates,0.051574892
0.043251986,Research Affiliates,0.051574892
0.051262477,Research Affiliates,0.051574892
0.05619333,Research Affiliates,0.051574892
0.038437122,Research Affiliates,0.051574892
0.005771292,Research Affiliates,0.051574892
0.048228247,Research Affiliates,0.051574892
0.040318679,Research Affiliates,0.051574892
0.056739661,Research Affiliates,0.051574892
0.049535832,Research Affiliates,0.051574892
0.068884538,Research Affiliates,0.051574892
0.022347082,Research Affiliates,0.051574892
0.046265657,Research Affiliates,0.051574892
0.066133343,Research Affiliates,0.051574892
0.013607166,Research Affiliates,0.051574892
0.043858005,Research Affiliates,0.051574892
0.080114427,Research Affiliates,0.051574892
0.021240947,Research Affiliates,0.051574892
0.046583726,Research Affiliates,0.051574892
0.019578357,Research Affiliates,0.051574892
0.033698195,Research Affiliates,0.051574892
0.083376176,Research Affiliates,0.051574892
0.021852437,Research Affiliates,0.051574892
0.025554338,Research Affiliates,0.051574892
0.057616829,Research Affiliates,0.051574892
0.020756124,Research Affiliates,0.051574892
0.076597188,Research Affiliates,0.051574892
0.060064627,Research Affiliates,0.051574892
0.03244398,Research Affiliates,0.051574892
0.079081416,Research Affiliates,0.051574892
0.051953453,Research Affiliates,0.051574892
0.011736936,Research Affiliates,0.051574892
0.075524449,Research Affiliates,0.051574892
0.055670619,Research Affiliates,0.051574892
