year,name_label,loss,gain,net
2003,Investment Performance,6.966736157,NA,NA
2003,Negative Amortization,5.240503745,NA,NA
2003,Changes to Actuarial Methds & Assumptions,3.827738487,NA,NA
2003,Deviations from Demographic Assumptions ,0.437290053,NA,NA
2003,Deviations from Pay Increase Assumptions ,NA,0.336527085,NA
2003,Legislative Changes & Other,NA,1.557859783,NA
2003,Net Change to Unfunded Liability,NA,NA,14.57788157
