year,arr,mva,ava
2001,0.085,-0.079,NA
2002,0.085,-0.109,NA
2003,0.085,0.243,NA
2004,0.085,0.151,NA
2005,0.085,0.145,NA
2006,0.085,0.164,NA
2007,0.085,0.172,NA
2008,0.08,-0.287,NA
2009,0.08,0.091,NA
2010,0.08,0.119,NA
2011,0.075,0.027,NA
2012,0.075,0.12,NA
2013,0.075,0.136,NA
2014,0.075,0.064,NA
2015,0.075,0.004,NA
2016,0.0725,0.065,NA
2017,0.0725,0.151,NA
2018,0.0725,-0.046,NA
2019,0.07125,0.188,NA
2020,0.07,0.111,NA
2021,0.07,0.172,NA
